"","old_game_id","play_id","play_type_nfl","defteam","week","complete_pass","wp","yac_allowed","yac_epa_allowed","xyac_epa_allowed","xyac_mean_yardage_allowed","is_screen_pass"
"2123",2022121700,691,"PASS","MIN",15,1,0.847198486328125,2,1.0996467647492,0.835181327810333,1.5696109472774,0
"2124",2022121700,807,"PASS","IND",15,1,0.150362610816956,1,0.291747863870114,0.623609045017763,3.9076215915411,0
"2125",2022121700,894,"PASS","MIN",15,1,0.884213447570801,2,0.0678892438299954,0.239013639444301,3.66546896833461,0
"2126",2022121700,1081,"PASS","IND",15,1,0.0763622671365738,6,1.06323724426329,1.00990421188467,4.6279996217927,0
"2127",2022121700,3758,"PASS","IND",15,1,0.051376037299633,11,0.834095910307951,0.376947440804656,3.59772193181561,0
"2128",2022121700,3858,"PASS","IND",15,1,0.0581650361418724,0,0,NA,NA,0
"2129",2022121700,4036,"PASS","IND",15,1,0.08656857162714,3,0.577381857088767,0.55356327233408,4.25777860144444,0
"2130",2022121700,4082,"PASS","IND",15,1,0.109796829521656,0,0,0.259057534469292,3.64271453255787,0
"2131",2022121700,4544,"PASS","MIN",15,1,0.519720137119293,0,0,0.272350352508912,3.03737558196735,0
"2132",2022121700,4583,"PASS","MIN",15,1,0.514776766300201,0,0,0.956668123732247,4.69333369639207,0
"2133",2022121700,4671,"PASS","IND",15,1,0.603099286556244,5,0.07478114485275,0.337884917294634,4.80414731803467,0
"2134",2022121700,4865,"PASS","IND",15,1,0.610781439812854,6,0.712297667283565,0.739506355301687,7.06991058149288,0
"2135",2022121700,4921,"PASS","IND",15,1,0.702370007522404,7,0.763512040372007,0.679804905158536,7.09396644236404,0
"2136",2022121700,5052,"PASS","IND",15,1,0.449744721874595,10,0.722626839880832,0.523796090116255,6.34583087221836,0
"2137",2022121700,5119,"PASS","MIN",15,1,0.366545586148277,3,0.241416654898785,0.239272283720114,4.714595707017,0
"2138",2022121700,5202,"PASS","MIN",15,1,0.352893045754172,3,2.39816933393013,1.17444871640295,3.93608744842641,0
"2139",2022121700,5347,"PASS","IND",15,1,0.315833850298077,9,0.139878079469781,0.186779047577052,3.57288666709064,0
"2140",2022121700,5371,"PASS","IND",15,1,0.396085081389174,1,-0.418730352859711,0.395428342816701,5.21233996248338,0
"2141",2022121802,168,"PASS","HOU",15,1,0.482290267944336,3,0.601286600343883,0.608599999722228,4.25521991449932,0
"2142",2022121802,213,"PASS","HOU",15,1,0.466260373592377,1,0.0142010394483805,0.308146544478935,4.9077924404628,0
"2143",2022121802,237,"PASS","HOU",15,1,0.500823676586151,8,0.965956672327593,0.59472299403906,4.3846771200042,0
"2144",2022121802,283,"PASS","HOU",15,1,0.514346778392792,9,1.29528915160336,1.54488586681792,10.1258573875311,0
"2145",2022121802,465,"PASS","HOU",15,1,0.477042555809021,1,0.153502717614174,0.529631417510623,4.04677994881058,0
"2146",2022121802,602,"PASS","KC",15,1,0.52901041507721,12,0.785781105863862,0.364156633447022,5.36024834791897,0
"2147",2022121802,669,"PASS","KC",15,1,0.585996389389038,16,3.96703414653894,1.63474406397535,6.27296514954651,0
"2148",2022121802,795,"PASS","KC",15,1,0.670457243919373,0,0,NA,NA,0
"2149",2022121802,949,"PASS","HOU",15,1,0.302754253149033,8,3.56920904316939,2.48144232890532,7.7480123914138,0
"2150",2022121802,997,"PASS","HOU",15,1,0.379664212465286,16,2.45284013694618,0.557759913515038,3.80619328090688,0
"2151",2022121802,1090,"PASS","KC",15,1,0.514368772506714,4,2.8420687885955,1.7647702631902,5.08163128064189,0
"2152",2022121802,1136,"PASS","KC",15,1,0.546952605247498,1,0.125022567575797,0.766950853129761,4.72292620963708,0
"2153",2022121802,1384,"PASS","HOU",15,1,0.272701174020767,8,0.794123348779976,1.77335204224897,10.9380979962225,0
"2154",2022121802,1597,"PASS","HOU",15,1,0.243668839335442,1,0.129647823050618,0.708682039455331,4.52227592391137,0
"2155",2022121802,1628,"PASS","HOU",15,1,0.228515237569809,0,-0.422042090911418,0.289781361157499,4.36157464592543,0
"2156",2022121802,1669,"PASS","HOU",15,1,0.26411759853363,13,1.10313994111493,0.541086520984471,6.86784745081968,0
"2157",2022121802,1697,"PASS","HOU",15,1,0.282889634370804,22,1.73652121983469,0.783660767207268,7.72423442096624,0
"2158",2022121802,1721,"PASS","HOU",15,1,0.329267889261246,9,1.06275478500174,0.678518646115643,5.53897012450034,0
"2159",2022121802,1818,"PASS","HOU",15,1,0.369293570518494,5,0.249697743158322,0.26057859506092,2.91793449473334,0
"2160",2022121802,1849,"PASS","HOU",15,1,0.375991642475128,1,-0.012183724436909,0.752073567961311,2.57905168875004,0
"2161",2022121802,1902,"PASS","HOU",15,1,0.353784590959549,0,0,NA,NA,0
"2162",2022121802,2055,"PASS","HOU",15,1,0.476343810558319,4,0.23715060739778,0.25660579410181,3.74995979042433,0
"2163",2022121802,2166,"PASS","HOU",15,1,0.583565354347229,0,0,0.838037879570948,3.21900876361178,0
"2164",2022121802,2361,"PASS","HOU",15,1,0.578138887882233,13,1.08189697633497,0.383933441294824,3.59193584529567,0
"2165",2022121802,2385,"PASS","HOU",15,1,0.630151927471161,0,1.29410272277892,0.455040482294167,3.92116705655644,0
